ID,Scheme Name,Objective,Description,Eligibility,Benefits,Required Documents,Income Limit,Age Criteria,State/Central,Category,Keywords,Official Link
GS001,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Provide financial income support to eligible farmer families.,PM-KISAN provides eligible farmer families with direct financial assistance through Direct Benefit Transfer (DBT). The amount is credited in installments to help farmers manage agricultural expenses and improve their livelihood.,Indian landholding farmer families with cultivable land as per state records. Certain categories such as institutional landholders and some income tax payers are excluded.,"₹6,000 per year in three equal DBT installments to eligible farmer families for agricultural expenses.","Aadhaar Card, Land Ownership Records, Bank Account Details, Mobile Number",No fixed income limit (eligible landholding farmers; exclusions apply),No age limit,Central,Agriculture,"farmer, agriculture, income support, DBT, farming, cultivator, financial assistance, crops",https://pmkisan.gov.in/
GS002,Kisan Credit Card (KCC),Provide affordable credit to farmers for agricultural activities.,"Kisan Credit Card offers farmers easy access to short-term loans for farming, livestock, and fisheries. It provides credit at affordable interest rates to support agricultural activities and reduce dependence on informal lenders.","Farmers engaged in agriculture, animal husbandry, dairy, or fisheries with eligible landholding or farming activities. Applicants must meet the lending institution's requirements.","Low-interest crop loans, flexible credit, and access to working capital for farming, dairy, fisheries, and allied activities.","Aadhaar Card, PAN Card (if required), Land Records/Lease Documents, Passport-size Photo, Bank Account Details",No fixed income limit,18 years and above (bank norms apply),Central,Agriculture,"farmer loan, agriculture loan, crop loan, dairy, fisheries, credit, farming, bank loan",https://www.myscheme.gov.in/schemes/kcc
GS003,Pradhan Mantri Fasal Bima Yojana (PMFBY),Protect farmers against crop losses due to natural calamities.,"PMFBY provides insurance coverage against crop losses caused by natural disasters, pests, and diseases. The scheme helps farmers recover financially and continue agricultural production after unforeseen events.","Farmers growing notified crops in notified areas who have an insurable interest in the crop. Both loanee and eligible non-loanee farmers can enroll, subject to current scheme rules.","Financial compensation for crop losses due to natural calamities, pests, and diseases.","Aadhaar Card, Land Records, Bank Passbook, Sowing Certificate (if applicable), Passport-size Photo",No fixed income limit,No age limit,Central (Implemented by States),Agriculture,"crop insurance, crop loss, natural disaster, farmer insurance, compensation, agriculture, farming",https://pmfby.gov.in/
GS004,Soil Health Card Scheme,Promote balanced fertilizer use by providing soil health information.,This scheme provides farmers with information about the nutrient status of their soil and recommendations for balanced fertilizer use. It encourages sustainable farming practices and improves crop productivity.,All farmers are eligible to receive soil testing and a Soil Health Card through the designated government programme.,"Free soil testing, personalized nutrient recommendations, and improved crop productivity through balanced fertilizer use.","Aadhaar Card, Land Records, Farmer ID (if applicable)",No fixed income limit,No age limit,Central,Agriculture,"soil testing, soil health, fertilizer, nutrients, agriculture, farming, crop productivity",https://soilhealth.dac.gov.in/
GS005,Pradhan Mantri Krishi Sinchai Yojana (PMKSY),Improve irrigation facilities and ensure efficient water use in agriculture.,PMKSY aims to improve irrigation coverage and promote efficient water management in agriculture. It encourages water conservation and the adoption of modern irrigation techniques such as drip and sprinkler systems.,"Farmers, farmer groups, cooperatives, and eligible organizations involved in agriculture or irrigation projects, subject to component-specific guidelines.","Improved irrigation facilities, efficient water use, and financial support for modern irrigation systems.","Aadhaar Card, Land Records, Bank Account Details, Identity Proof, Project Documents (if applicable)",No fixed income limit,No age limit,Central (Implemented by States),Agriculture,"irrigation, water conservation, drip irrigation, sprinkler, farming, agriculture, water management",https://pmksy.gov.in/
GS006,Ayushman Bharat PM-JAY,Provide cashless health insurance to economically vulnerable families.,Ayushman Bharat PM-JAY offers eligible families cashless health insurance coverage for hospitalization at empanelled hospitals. It reduces the financial burden of medical treatment and improves access to quality healthcare.,Families identified as eligible under the scheme's beneficiary database (based on government criteria). Beneficiaries must verify their eligibility before availing benefits.,Cashless hospitalization coverage of up to ₹5 lakh per eligible family per year at empanelled hospitals.,"Aadhaar Card (or other valid ID), Ration Card/Family ID (if applicable), Mobile Number",As per government beneficiary list (SECC/eligible database),No age limit,Central (Implemented by States),Healthcare,"health insurance, hospital, cashless treatment, healthcare, medical, PMJAY, hospitalization",https://www.myscheme.gov.in/schemes/ab-pmjay
GS007,Ayushman Bharat Health & Wellness Centres,Deliver comprehensive primary healthcare services to all citizens.,"Health & Wellness Centres provide comprehensive primary healthcare services, including preventive, promotive, and basic curative care. They improve access to essential healthcare services, especially in rural areas.",Available to all citizens seeking primary healthcare services at Health & Wellness Centres. No specific income or age restriction for basic services.,"Free primary healthcare services, essential medicines, diagnostic tests, maternal and child healthcare, and preventive care.",Aadhaar Card or any Government-issued ID (if required),No income limit,No age limit,Central,Healthcare,"primary healthcare, health centre, free treatment, medicines, diagnostics, wellness, healthcare",https://www.myscheme.gov.in/schemes/ahwc
GS008,Pradhan Mantri Jan Arogya Yojana,Improve access to quality healthcare through financial protection,PM-JAY is a flagship health insurance scheme that provides financial protection for secondary and tertiary healthcare services. It enables eligible beneficiaries to receive cashless treatment at participating hospitals across India.,Eligible families identified under the scheme's approved beneficiary list. Eligibility is determined by government-defined socio-economic criteria.,Cashless treatment for secondary and tertiary healthcare services at empanelled hospitals with financial protection against major medical expenses.,"Aadhaar Card, Family ID/Ration Card (if applicable), Mobile Number",As per government beneficiary list,No age limit,Central (Implemented by States),Healthcare,"health insurance, cashless treatment, hospitalization, medical expenses, healthcare, PMJAY",https://www.myscheme.gov.in/schemes/ab-pmjay
GS009,Janani Suraksha Yojana,Reduce maternal and infant mortality by promoting institutional deliveries.,Janani Suraksha Yojana encourages pregnant women to opt for institutional deliveries by providing financial assistance. The scheme aims to reduce maternal and infant mortality and improve maternal healthcare services.,"Pregnant women meeting the scheme guidelines, particularly those from eligible low-income households and delivering in government or accredited health facilities.",Cash assistance to eligible pregnant women for institutional delivery and improved maternal healthcare.,"Aadhaar Card, Pregnancy Registration Card, Bank Account Details, Mother & Child Protection Card",Varies by state/category (priority to eligible low-income women),Pregnant women (typically 19 years and above),Central (Implemented by States),Healthcare,"pregnancy, maternity, institutional delivery, pregnant women, childbirth, maternal health",https://www.myscheme.gov.in/schemes/jsy1
GS010,Pradhan Mantri Surakshit Matritva Abhiyan,Ensure quality antenatal care for pregnant women.,This scheme provides free and quality antenatal healthcare services to pregnant women on designated days each month. It promotes early detection and management of high-risk pregnancies to ensure safer motherhood.,"All pregnant women, especially those in the second and third trimesters, are eligible to receive free antenatal check-ups at participating government health facilities.","Free antenatal check-ups, essential diagnostic tests, specialist consultation, and identification of high-risk pregnancies.","Pregnancy Registration Card/Mother & Child Protection Card, Aadhaar Card (if required), Medical Records",No income limit,Pregnant women (no specific age limit),Central,Healthcare,"pregnancy, antenatal care, maternal health, prenatal checkup, pregnant women, doctor",https://www.myscheme.gov.in/schemes/pmsma
